YYYY ,MM ,DD ,SST_MIN ,SST_MAX ,SST@90th_HS ,SSTA@90th_HS ,90th_HS>0 ,DHW_from_90th_HS>1 ,BAA_7day_max
1985,9,4,24.1100,26.0500,25.7500,0.1755,0.0000,0.0000,0
1985,9,5,24.1000,25.7400,25.4700,0.0148,0.0000,0.0000,0
1985,9,6,24.2400,25.6700,25.5600,0.0290,0.0000,0.0000,0
1985,9,7,24.3100,25.6600,25.5800,0.0158,0.0000,0.0000,0
1985,9,8,23.9500,25.1800,25.1500,-0.4261,0.0000,0.0000,0
1985,9,9,23.7000,25.0100,24.1200,-1.1719,0.0000,0.0000,0
1985,9,10,23.6900,25.0700,24.9100,-0.6890,0.0000,0.0000,0
1985,9,11,23.7800,25.1900,24.9400,-0.6606,0.0000,0.0000,0
1985,9,12,24.1100,25.5000,25.3300,-0.3790,0.0000,0.0000,0
1985,9,13,24.3300,25.6400,25.5300,-0.2868,0.0000,0.0000,0
1985,9,14,24.5300,25.6600,24.5900,-0.6606,0.0000,0.0000,0
1985,9,15,24.8300,26.1300,25.2700,0.1000,0.0000,0.0000,0
1985,9,16,24.8500,26.0600,25.8600,0.0110,0.0000,0.0000,0
1985,9,17,25.4800,26.4800,25.5700,0.2973,0.0000,0.0000,0
1985,9,18,25.0500,26.4600,26.0700,0.2810,0.0000,0.0000,0
1985,9,19,24.9100,26.4000,26.3000,0.3200,0.0000,0.0000,0
1985,9,20,24.6900,26.3600,25.4300,-0.0550,0.0000,0.0000,0
1985,9,21,24.7300,26.3200,25.4600,-0.0640,0.0000,0.0000,0
1985,9,22,24.7600,26.2700,25.8600,-0.0300,0.0000,0.0000,0
1985,9,23,24.8700,26.2600,25.5200,-0.0593,0.0000,0.0000,0
1985,9,24,24.8700,26.2600,25.3900,-0.1630,0.0000,0.0000,0
1985,9,25,24.9500,26.3300,25.5200,-0.0733,0.0000,0.0000,0
1985,9,26,24.9200,26.3900,25.6700,0.0257,0.0000,0.0000,0
1985,9,27,24.4100,26.6500,26.1300,-0.0400,0.0000,0.0000,0
1985,9,28,23.9700,26.2500,25.8300,-0.3757,0.0000,0.0000,0
1985,9,29,24.1900,26.5300,25.9600,-0.2293,0.0000,0.0000,0
1985,9,30,24.2400,26.2900,25.0200,-0.6850,0.0000,0.0000,0
1985,10,1,24.3500,26.2500,26.1800,-0.3293,0.0000,0.0000,0
1985,10,2,24.3800,26.2300,26.1600,-0.3887,0.0000,0.0000,0
1985,10,3,24.3800,26.0100,25.1800,-0.6340,0.0000,0.0000,0
1985,10,4,24.0500,25.6200,24.6400,-1.1657,0.0000,0.0000,0
1985,10,5,23.9300,25.4400,25.3700,-1.2967,0.0000,0.0000,0
1985,10,6,24.0900,25.3900,25.2700,-1.2780,0.0000,0.0000,0
1985,10,7,24.2400,25.2700,25.2100,-1.3907,0.0000,0.0000,0
1985,10,8,24.3200,25.4900,25.0000,-0.9777,0.0000,0.0000,0
1985,10,9,24.5900,25.5500,25.0800,-0.9560,0.0000,0.0000,0
1985,10,10,25.0700,25.8300,25.5700,-0.4917,0.0000,0.0000,0
1985,10,11,25.3300,26.2400,25.9100,-0.1567,0.0000,0.0000,0
1985,10,12,25.5300,26.5400,26.1700,0.0720,0.0000,0.0000,0
1985,10,13,25.8400,27.0900,26.4700,0.3480,0.0000,0.0000,0
1985,10,14,25.8200,27.2300,26.4000,0.3027,0.0000,0.0000,0
1985,10,15,25.4900,27.2300,26.6900,0.5500,0.0000,0.0000,0
1985,10,16,25.4900,27.4800,26.8200,0.5348,0.0000,0.0000,0
1985,10,17,25.5800,27.5700,26.9000,0.5797,0.0000,0.0000,0
1985,10,18,25.5400,27.6000,27.5100,0.2997,0.0000,0.0000,0
1985,10,19,26.0700,27.7400,27.0200,0.5190,0.0000,0.0000,0
1985,10,20,26.5400,27.9400,27.6000,1.2765,0.0000,0.0000,0
1985,10,21,26.7600,28.0200,27.4500,1.2032,0.0000,0.0000,0
1985,10,22,26.7200,27.9800,27.4200,1.0361,0.0000,0.0000,0
1985,10,23,26.6000,27.8600,27.3700,1.0132,0.0000,0.0000,0
1985,10,24,26.8400,28.1100,27.7200,1.2948,0.0000,0.0000,0
1985,10,25,26.7300,28.1500,27.6200,1.1161,0.0000,0.0000,0
1985,10,26,26.3600,28.0200,27.5500,0.9897,0.0000,0.0000,0
1985,10,27,25.8700,27.8300,27.7500,0.2894,0.0000,0.0000,0
1985,10,28,25.7100,27.7200,27.7000,0.1461,0.0000,0.0000,0
